c_date_call,option_symbol_call,dte_call,stocks_id_call,expiration_date,call_put_call,price_strike,price_open_call,price_high_call,price_low_call,price_call,volume_call,openinterest_call,iv_call,delta_call,preiv_call,gamma_call,theta_call,vega_call,rho_call,Ask_call,Bid_call,underlying_price_call,calc_OTM_call,option_id_call,is_settlement_call,c_date_put,option_symbol_put,dte_put,stocks_id_put,call_put_put,price_open_put,price_high_put,price_low_put,price_put,volume_put,openinterest_put,iv_put,delta_put,preiv_put,gamma_put,theta_put,vega_put,rho_put,Ask_put,Bid_put,underlying_price_put,calc_OTM_put,option_id_put,is_settlement_put,vol_weighted,delta_diff
2021-12-01,AAPL  211203C00167500,2,799,2021-12-03,C,167.5,1.97,3.75,0.86,0.89,199846,51092,0.399465,0.294322,0.399465,0.070742,-0.419925,0.042039,0.002609,0.91,0.87,164.77,1.6600000000000001,117869239,0,2021-12-01,AAPL  211203P00167500,2,799,P,2.03,3.77,0.93,3.6,141545,1224,0.394515,-0.708308,0.394515,0.071595,-0.414169,0.0422,-0.00571,3.8,3.4,164.77,-1.6600000000000001,117869240,0,0.39597189390000004,0.04432199999999997
2021-12-01,AAPL  211203C00165000,2,799,2021-12-03,C,165.0,3.4,5.77,1.8,1.925,105312,59460,0.418482,0.488271,0.418482,0.078127,-0.509012,0.048637,0.004303,2.02,1.83,164.77,0.14,117579225,0,2021-12-01,AAPL  211203P00165000,2,799,P,1.08,2.25,0.47,2.19,190184,21123,0.425287,-0.511348,0.425287,0.077173,-0.518929,0.048687,-0.004304,2.23,2.15,164.77,-0.14,117579226,0,0.42196431584500005,0.238271
2021-12-01,AAPL  211203C00162500,2,799,2021-12-03,C,162.5,5.4,8.05,3.15,3.375,33373,42325,0.422586,0.676974,0.422586,0.069654,-0.462838,0.043788,0.005927,3.45,3.3,164.77,-1.38,117869237,0,2021-12-01,AAPL  211203P00162500,2,799,P,0.52,1.28,0.25,1.255,90408,25969,0.456587,-0.334324,0.456587,0.065659,-0.508948,0.043707,-0.002886,1.28,1.23,164.77,1.38,117869238,0,0.433569207026,0.07302600000000004
2021-12-01,AAPL  211210C00170000,9,799,2021-12-10,C,170.0,2.18,3.63,1.41,1.55,109079,36663,0.340661,0.288751,0.340661,0.038758,-0.167376,0.088386,0.011349,1.6,1.5,164.77,3.17,117642411,0,2021-12-01,AAPL  211210P00170000,9,799,P,4.9,6.9,3.33,6.9,12426,1243,0.354182,-0.703408,0.354182,0.037887,-0.176491,0.090167,-0.025701,7.0,6.8,164.77,-3.17,117642412,0,0.35027779772900003,0.03875099999999998
2021-12-01,AAPL  211210C00167500,9,799,2021-12-10,C,167.5,3.35,5.07,2.22,2.3,43412,6467,0.335909,0.3879,0.335909,0.044078,-0.185103,0.099118,0.015193,2.5,2.1,164.77,1.6600000000000001,117880791,0,2021-12-01,AAPL  211210P00167500,9,799,P,3.4,5.2,2.31,5.45,12263,113,0.378031,-0.597583,0.378031,0.039724,-0.2109,0.100955,-0.022568,5.75,5.15,164.77,-1.6600000000000001,117880792,0,0.3616918762,0.13790000000000002
2021-12-01,AAPL  211210C00157500,9,799,2021-12-10,C,157.5,10.52,13.2,8.6,8.45,915,3296,0.370782,0.789443,0.370782,0.030088,-0.154105,0.074684,0.02999,10.2,6.7,164.77,-4.41,117880787,0,2021-12-01,AAPL  211210P00157500,9,799,P,0.72,1.44,0.5,1.45,6390,11595,0.406394,-0.229851,0.406394,0.028868,-0.177228,0.078535,-0.009696,1.5,1.4,164.77,4.41,117880788,0,0.378280355884,0.039443000000000006
2021-12-01,AAPL  211210C00160000,9,799,2021-12-10,C,160.0,8.65,11.0,6.65,6.65,6298,63597,0.373199,0.702264,0.373199,0.035884,-0.186112,0.089651,0.026892,6.75,6.55,164.77,-2.89,117642407,0,2021-12-01,AAPL  211210P00160000,9,799,P,1.13,2.03,0.73,2.0149999,26825,14841,0.38827,-0.303927,0.38827,0.034954,-0.195864,0.09196,-0.01191,2.03,2.0,164.77,2.89,117642408,0,0.377686179256,0.047736
2021-12-01,AAPL  211217C00172500,16,799,2021-12-17,C,172.5,2.26,3.4,1.51,1.685,15548,14186,0.322401,0.259496,0.322401,0.029135,-0.112721,0.111787,0.018004,1.73,1.64,164.77,4.6899999999999995,118048517,0,2021-12-01,AAPL  211217P00172500,16,799,P,7.9,9.2,5.65,9.4,677,112,0.321408,-0.74154,0.321408,0.029281,-0.112192,0.114043,-0.047409,9.7,9.1,164.77,-4.6899999999999995,118048518,0,0.32166567952800007,0.009496000000000004
2021-12-01,AAPL  211217C00170000,16,799,2021-12-17,C,170.0,2.94,4.55,2.2,2.375,78902,55761,0.322973,0.334418,0.322973,0.032675,-0.126884,0.125595,0.023113,2.4,2.35,164.77,3.17,115343549,0,2021-12-01,AAPL  211217P00170000,16,799,P,5.76,7.7,4.25,7.6,8264,1752,0.322692,-0.665886,0.322692,0.032816,-0.126815,0.126416,-0.043782,7.85,7.35,164.77,-3.17,115343550,0,0.322785971458,0.08441799999999999
2021-12-01,AAPL  211217C00157500,16,799,2021-12-17,C,157.5,10.65,13.6,9.3,9.4,700,4695,0.366583,0.734604,0.366583,0.02592,-0.129801,0.113081,0.048938,9.65,9.15,164.77,-4.41,118048511,0,2021-12-01,AAPL  211217P00157500,16,799,P,1.32,2.14,0.92,2.1100001,10420,5638,0.365264,-0.264461,0.365264,0.026081,-0.129305,0.115626,-0.018581,2.18,2.04,164.77,4.41,118048512,0,0.366232942676,0.015395999999999965
